title,genre,language,industry,rating,year,duration,mood,poster,description
Interstellar,Sci-Fi,English,Hollywood,8.7,2014,169,Thought Provoking,https://image.tmdb.org/t/p/w500/yQvGrMoipbRoddT0ZR8tPoR7NfX.jpg,A team travels through a wormhole to save humanity.
Inception,Sci-Fi,English,Hollywood,8.8,2010,148,Mind Bending,https://image.tmdb.org/t/p/w500/xlaY2zyzMfkhk0HSC5VUwzoZPU1.jpg,A thief enters dreams to steal secrets.
The Dark Knight,Action,English,Hollywood,9.0,2008,152,Action Rush,https://image.tmdb.org/t/p/w500/qJ2tW6WMUDux911r6m7haRef0WH.jpg,Batman battles the Joker to save Gotham City.
The Shawshank Redemption,Drama,English,Hollywood,9.3,1994,142,Inspirational,https://image.tmdb.org/t/p/w500/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg,Two prisoners develop an enduring friendship over decades.
Forrest Gump,Drama,English,Hollywood,8.8,1994,142,Feel Good,https://image.tmdb.org/t/p/w500/Cw4hIUIAmSYfK9QfaUW5igp9La.jpg,A kind-hearted man unintentionally witnesses historic events.
The Matrix,Sci-Fi,English,Hollywood,8.7,1999,136,Mind Bending,https://image.tmdb.org/t/p/w500/dXNAPwY7VrqMAo51EKhhCJfaGb5.jpg,A hacker discovers the shocking truth about reality.
Avatar,Sci-Fi,English,Hollywood,7.9,2009,162,Adventure,https://image.tmdb.org/t/p/w500/bRBeSHfGHwkEpImlhxPmOcUsaeg.jpg,A marine discovers a breathtaking alien world.
Titanic,Romance,English,Hollywood,7.9,1997,194,Emotional,https://image.tmdb.org/t/p/w500/9xjZS2rlVxm8SFx8kPC3aIGCOYQ.jpg,A tragic romance unfolds aboard the Titanic.
Oppenheimer,Biography,English,Hollywood,8.4,2023,180,Thought Provoking,https://image.tmdb.org/t/p/w500/8Gxv8gSFCU0XGDykEGv7zR1n2ua.jpg,The story of the father of the atomic bomb.
Gladiator,Action,English,Hollywood,8.5,2000,155,Action Rush,https://image.tmdb.org/t/p/w500/wN2xWp1eIwCKOD0BHTcErTBv1Uq.jpg,A betrayed Roman general fights for revenge.
3 Idiots,Comedy,Hindi,Bollywood,8.4,2009,170,Feel Good,https://image.tmdb.org/t/p/w500/66A9MqXOyVFCssoloscw79z8Tew.jpg,Three engineering students redefine friendship and education.
Dangal,Biography,Hindi,Bollywood,8.3,2016,161,Inspirational,https://image.tmdb.org/t/p/w500/cJRPOLEexI7qp2DKtFfCh7YaaUG.jpg,A father trains his daughters to become world champions.
PK,Comedy,Hindi,Bollywood,8.1,2014,153,Thought Provoking,https://image.tmdb.org/t/p/w500/z2x2Y4tncefsIU7h82gmUM5vnBJ.jpg,An alien questions human beliefs and traditions.
Chhichhore,Comedy,Hindi,Bollywood,8.3,2019,143,Feel Good,https://image.tmdb.org/t/p/w500/cGDPQtQ5igtPMt3oJ6BCAor6dFp.jpg,Old college friends reunite to celebrate life.
Drishyam,Thriller,Hindi,Bollywood,8.2,2015,163,Mystery,https://image.tmdb.org/t/p/w500/456FlpiU1iOBnaOxSd783QhZKWw.jpg,A father protects his family through intelligence.
Andhadhun,Thriller,Hindi,Bollywood,8.2,2018,139,Mystery,https://image.tmdb.org/t/p/w500/dy3K6hNvwE05siGgiLJcEiwgpdO.jpg,A blind pianist gets trapped in a murder mystery.
Bajrangi Bhaijaan,Drama,Hindi,Bollywood,8.1,2015,163,Emotional,https://image.tmdb.org/t/p/w500/vhlliI7HZZlWfo5d6CiyfBAGLrW.jpg,A man helps a lost Pakistani girl return home.
Shershaah,Biography,Hindi,Bollywood,8.4,2021,135,Inspirational,https://image.tmdb.org/t/p/w500/zGvFnwoXJKrYnKhoVPytqkqCJ8V.jpg,The inspiring journey of Captain Vikram Batra.
Swades,Drama,Hindi,Bollywood,8.2,2004,189,Inspirational,https://image.tmdb.org/t/p/w500/yUSL24kpHc9Nls4Pohia4shgcIM.jpg,A NASA scientist returns to transform his village.
Zindagi Na Milegi Dobara,Drama,Hindi,Bollywood,8.2,2011,155,Feel Good,https://image.tmdb.org/t/p/w500/hKO9O715wYxjkQSEv47giCYcyO8.jpg,Three friends discover themselves on a road trip.
Jab We Met,Romance,Hindi,Bollywood,7.9,2007,138,Romantic,https://image.tmdb.org/t/p/w500/iqiH6vnoEgjAypKsuIScN7JlE2j.jpg,A lively woman changes the life of a depressed businessman.
Kal Ho Naa Ho,Romance,Hindi,Bollywood,7.9,2003,186,Emotional,https://image.tmdb.org/t/p/w500/zhMI6I0kSLnewTMwE0A8Tz3Cj2f.jpg,A cheerful man teaches people how to live life fully.
Dil Chahta Hai,Drama,Hindi,Bollywood,8.1,2001,183,Feel Good,https://image.tmdb.org/t/p/w500/c6Cicaf2FFmfcInfsbPTxMLk5CS.jpg,Three best friends experience love and adulthood together.
Queen,Comedy,Hindi,Bollywood,8.1,2014,146,Inspirational,https://image.tmdb.org/t/p/w500/dfFVDIgovEfQZn53VRKLV2JQnRJ.jpg,A young woman discovers herself on a solo honeymoon.
Piku,Drama,Hindi,Bollywood,7.6,2015,123,Feel Good,https://image.tmdb.org/t/p/w500/yo7EZWiLpLGhqs3YnlDGDBPjfTb.jpg,A daughter balances career while caring for her aging father.
Rockstar,Romance,Hindi,Bollywood,7.7,2011,159,Emotional,https://image.tmdb.org/t/p/w500/91YwoAfOtbhMtXFzPHmWOEz15Q8.jpg,A musician's heartbreak transforms him into a rockstar.
Lagaan,Drama,Hindi,Bollywood,8.1,2001,224,Inspirational,https://image.tmdb.org/t/p/w500/yNX9lFRAFeNLNRIXdqZK9gYrYKa.jpg,Villagers challenge British officers to a cricket match.
Chak De! India,Sports,Hindi,Bollywood,8.1,2007,153,Inspirational,https://image.tmdb.org/t/p/w500/mmFMgEsTRCAGAtwffGpuo3mJsxN.jpg,A former hockey player coaches the Indian women's team.
Hera Pheri,Comedy,Hindi,Bollywood,8.2,2000,156,Feel Good,https://image.tmdb.org/t/p/w500/23MKGUPT5laTStim4TaGhfgSltu.jpg,Three jobless men become involved in hilarious situations.
Welcome,Comedy,Hindi,Bollywood,7.1,2007,159,Feel Good,https://image.tmdb.org/t/p/w500/1JlfUuvvX5xLP2LIDah4JhWUtTx.jpg,A man falls in love with a gangster's sister.
Bhool Bhulaiyaa,Horror,Hindi,Bollywood,7.4,2007,151,Horror Night,https://image.tmdb.org/t/p/w500/soRW3p4GlPphHiFkwbqYGrodQ5S.jpg,A psychiatrist uncovers the mystery of a haunted palace.
Hindi Medium,Comedy,Hindi,Bollywood,7.8,2017,132,Feel Good,https://image.tmdb.org/t/p/w500/2v0nQd3kYBV0iPNCVHiaLWGb1hg.jpg,Parents struggle to get their daughter into an elite school.
Badhaai Ho,Comedy,Hindi,Bollywood,7.9,2018,124,Feel Good,https://image.tmdb.org/t/p/w500/vqT2U732KIHdSCRCeO0lslsmkxp.jpg,An unexpected pregnancy creates humorous family situations.
OMG: Oh My God!,Comedy,Hindi,Bollywood,8.1,2012,125,Thought Provoking,https://image.tmdb.org/t/p/w500/iTPzC3H2iG49xFIcMs01UfZeBXv.jpg,A shopkeeper challenges blind faith after an earthquake.
Special 26,Crime,Hindi,Bollywood,8.0,2013,144,Mystery,https://image.tmdb.org/t/p/w500/cOo6lOiZXO0zldPKsih9asKPWDo.jpg,Con artists pose as CBI officers for daring robberies.
Article 15,Crime,Hindi,Bollywood,8.1,2019,130,Thought Provoking,https://image.tmdb.org/t/p/w500/egknEWNt2B0slG2OC0gSpLZdVHj.jpg,A police officer fights caste discrimination.
